id_solicitud,edad,antiguedad_negocio_anios,ingreso_mensual,monto_solicitado,deuda_actual,tiene_historial_crediticio,canal,region,es_mujer_emprendedora,incumplio
SOL-000001,33,10.9,5552.0,13118.0,18425.0,0,digital,lima,1,0
SOL-000002,32,5.3,8615.0,17484.0,17126.0,0,presencial,lima,1,0
SOL-000003,53,2.2,1886.0,6434.0,1745.0,0,digital,arequipa,1,0
SOL-000004,52,6.7,1982.0,6721.0,681.0,1,digital,lima,0,0
SOL-000005,20,14.6,2995.0,13057.0,1989.0,1,presencial,lima,1,0
SOL-000006,34,8.2,3893.0,17232.0,2170.0,1,digital,lima,1,0
SOL-000007,40,14.2,1438.0,3835.0,1724.0,0,digital,arequipa,1,1
SOL-000008,37,4.0,1481.0,2893.0,1819.0,0,digital,trujillo,0,0
SOL-000009,60,5.4,2640.0,4846.0,5866.0,1,presencial,arequipa,0,1
SOL-000010,57,1.8,2350.0,10387.0,120.0,1,presencial,trujillo,1,0
SOL-000011,46,3.7,6062.0,15926.0,11318.0,1,presencial,arequipa,0,0
SOL-000012,57,3.5,4098.0,10092.0,1061.0,1,digital,arequipa,1,1
SOL-000013,53,5.5,2980.0,9910.0,3344.0,1,presencial,lima,0,1
SOL-000014,28,6.6,2422.0,3821.0,566.0,0,digital,arequipa,1,1
SOL-000015,37,4.0,1022.0,3480.0,1515.0,1,presencial,lima,1,0
SOL-000016,57,4.2,3017.0,12414.0,1372.0,1,presencial,lima,1,0
SOL-000017,34,17.5,7309.0,26643.0,9451.0,1,presencial,lima,0,0
SOL-000018,38,0.7,2933.0,7902.0,1105.0,1,presencial,trujillo,0,0
SOL-000019,29,0.2,1518.0,2672.0,134.0,0,digital,arequipa,1,0
SOL-000020,47,2.9,7829.0,16816.0,3062.0,1,presencial,trujillo,1,0
SOL-000021,30,0.2,1501.0,3336.0,1845.0,0,digital,trujillo,1,0
SOL-000022,29,1.1,8552.0,22178.0,5539.0,1,presencial,trujillo,1,0
SOL-000023,45,2.8,12029.0,21813.0,19680.0,0,digital,lima,1,0
SOL-000024,28,5.2,2531.0,8060.0,1886.0,0,digital,trujillo,1,1
SOL-000025,54,2.6,5116.0,12972.0,5480.0,0,digital,trujillo,1,1
SOL-000026,46,7.1,1607.0,4723.0,1983.0,1,presencial,trujillo,0,0
SOL-000027,57,9.0,1571.0,3588.0,2822.0,1,presencial,lima,0,0
SOL-000028,50,6.3,2529.0,7099.0,446.0,0,presencial,lima,1,0
SOL-000029,57,7.1,5870.0,21186.0,20123.0,1,presencial,trujillo,1,0
SOL-000030,38,3.0,2682.0,4488.0,2765.0,0,digital,lima,1,1
SOL-000031,35,2.4,2432.0,7251.0,1608.0,0,digital,lima,1,0
SOL-000032,44,0.2,1369.0,4541.0,787.0,0,digital,lima,1,1
SOL-000033,70,9.3,3582.0,12429.0,5235.0,1,presencial,lima,0,0
SOL-000034,40,6.1,2739.0,11670.0,1698.0,0,presencial,lima,1,0
SOL-000035,52,6.7,2369.0,9053.0,2105.0,1,presencial,trujillo,1,0
SOL-000036,43,1.8,2267.0,8367.0,4112.0,0,presencial,trujillo,0,1
SOL-000037,49,3.0,4229.0,17300.0,3122.0,1,presencial,trujillo,1,0
SOL-000038,43,4.4,2632.0,11146.0,5554.0,1,presencial,lima,1,0
SOL-000039,19,2.4,3815.0,15268.0,351.0,1,presencial,lima,0,0
SOL-000040,30,4.7,1068.0,3528.0,1245.0,0,digital,lima,1,0
SOL-000041,54,6.0,4972.0,19956.0,2344.0,1,presencial,lima,1,0
SOL-000042,24,4.1,3037.0,7325.0,3676.0,0,digital,lima,0,1
SOL-000043,42,7.6,2376.0,10338.0,1545.0,1,digital,arequipa,0,0
SOL-000044,45,6.4,4163.0,8067.0,9297.0,0,presencial,trujillo,1,1
SOL-000045,30,10.3,4355.0,9192.0,6737.0,1,digital,lima,1,0
SOL-000046,42,4.9,1261.0,2385.0,619.0,0,digital,lima,0,0
SOL-000047,50,3.5,3963.0,15094.0,1771.0,0,presencial,lima,0,1
SOL-000048,48,5.4,1942.0,5335.0,2236.0,1,presencial,lima,1,0
SOL-000049,43,0.2,2804.0,10341.0,1956.0,1,digital,lima,1,1
SOL-000050,45,6.8,3346.0,9975.0,3363.0,1,presencial,lima,0,0
SOL-000051,25,3.1,3778.0,10012.0,5134.0,1,presencial,lima,1,0
SOL-000052,39,5.9,5950.0,24864.0,11027.0,1,presencial,lima,1,0
SOL-000053,19,1.8,4101.0,11235.0,2451.0,1,digital,trujillo,1,1
SOL-000054,39,0.8,4715.0,15640.0,1481.0,1,digital,lima,1,0
SOL-000055,42,12.6,2180.0,8854.0,4917.0,1,digital,lima,0,0
SOL-000056,42,1.8,3862.0,7952.0,6994.0,0,digital,lima,1,1
SOL-000057,48,3.0,4981.0,13192.0,6124.0,1,presencial,lima,1,0
SOL-000058,54,8.4,3156.0,5836.0,4542.0,1,presencial,arequipa,0,0
SOL-000059,26,4.3,4068.0,12539.0,3195.0,1,presencial,trujillo,1,0
SOL-000060,42,3.2,3573.0,13748.0,5001.0,1,presencial,trujillo,1,0
SOL-000061,19,7.0,5534.0,8692.0,14246.0,0,digital,arequipa,1,0
SOL-000062,39,5.3,5833.0,9257.0,1557.0,0,presencial,lima,0,0
SOL-000063,61,9.3,3214.0,11884.0,1146.0,0,presencial,lima,0,0
SOL-000064,44,10.6,2170.0,7811.0,3372.0,1,digital,lima,0,0
SOL-000065,50,4.3,6298.0,16670.0,17003.0,1,presencial,lima,1,0
SOL-000066,41,8.1,7683.0,19347.0,24162.0,0,presencial,trujillo,1,0
SOL-000067,32,12.5,4510.0,10257.0,1431.0,1,presencial,lima,1,0
SOL-000068,45,14.5,5391.0,8580.0,1742.0,1,presencial,lima,0,0
SOL-000069,55,3.7,7537.0,22551.0,2365.0,0,presencial,lima,1,0
SOL-000070,48,10.1,3495.0,11568.0,2912.0,1,presencial,lima,0,0
SOL-000071,26,0.9,3997.0,16318.0,317.0,0,presencial,trujillo,0,0
SOL-000072,44,6.4,4930.0,15183.0,9729.0,1,presencial,lima,1,0
SOL-000073,19,0.4,2144.0,4012.0,3978.0,1,digital,lima,1,0
SOL-000074,52,4.3,9260.0,21811.0,9689.0,0,presencial,lima,1,0
SOL-000075,35,18.4,3048.0,11685.0,1416.0,0,presencial,trujillo,1,0
SOL-000076,30,9.4,3952.0,13106.0,1566.0,0,presencial,lima,0,0
SOL-000077,52,2.0,10368.0,39299.0,15380.0,0,presencial,arequipa,1,0
SOL-000078,38,0.9,1018.0,2730.0,2387.0,1,digital,lima,0,1
SOL-000079,46,10.7,4283.0,6893.0,1973.0,1,presencial,lima,1,0
SOL-000080,56,8.9,1900.0,7915.0,4564.0,1,digital,trujillo,1,0
SOL-000081,39,9.2,2680.0,6653.0,3356.0,0,digital,lima,0,0
SOL-000082,36,6.4,2045.0,3392.0,5023.0,1,presencial,lima,0,0
SOL-000083,38,7.7,2209.0,7112.0,1319.0,0,digital,arequipa,1,0
SOL-000084,40,4.4,3877.0,14369.0,702.0,1,presencial,lima,0,0
SOL-000085,57,4.3,4333.0,12487.0,10651.0,1,presencial,lima,0,0
SOL-000086,46,6.2,6098.0,20142.0,2547.0,1,presencial,trujillo,0,0
SOL-000087,36,1.6,800.0,2155.0,1611.0,1,digital,lima,1,1
SOL-000088,27,2.8,3585.0,14062.0,3156.0,0,presencial,lima,1,0
SOL-000089,44,7.8,3495.0,13384.0,4420.0,1,presencial,lima,1,0
SOL-000090,42,8.2,3702.0,13445.0,3826.0,1,presencial,arequipa,0,0
SOL-000091,32,2.9,3892.0,5689.0,4099.0,1,presencial,lima,1,0
SOL-000092,30,2.1,1740.0,5221.0,1328.0,0,digital,lima,1,1
SOL-000093,48,7.1,1712.0,6565.0,1201.0,1,presencial,arequipa,1,0
SOL-000094,43,6.8,4285.0,9252.0,4964.0,0,presencial,arequipa,1,0
SOL-000095,27,6.4,2282.0,5028.0,5218.0,1,presencial,trujillo,1,0
SOL-000096,40,3.0,4719.0,19835.0,1959.0,0,presencial,lima,1,1
SOL-000097,38,19.8,2351.0,9426.0,3628.0,1,presencial,lima,1,0
SOL-000098,45,4.0,5487.0,24490.0,1040.0,1,presencial,lima,1,0
SOL-000099,44,7.3,3721.0,10947.0,5029.0,1,presencial,arequipa,0,0
SOL-000100,27,0.8,2700.0,4820.0,1390.0,0,digital,lima,1,1
SOL-000101,27,3.7,2357.0,3360.0,806.0,0,digital,arequipa,1,1
SOL-000102,33,1.2,2169.0,7785.0,2464.0,0,digital,lima,1,0
SOL-000103,54,3.9,3391.0,13332.0,8803.0,1,presencial,trujillo,1,0
SOL-000104,35,4.9,4953.0,13510.0,1406.0,0,digital,trujillo,1,0
SOL-000105,48,10.2,1206.0,3280.0,261.0,0,digital,lima,1,0
SOL-000106,44,2.0,1913.0,7661.0,1665.0,0,digital,trujillo,1,1
SOL-000107,59,6.3,6631.0,13108.0,2383.0,0,presencial,trujillo,0,0
SOL-000108,58,7.3,5862.0,9360.0,5270.0,1,presencial,lima,1,0
SOL-000109,60,8.5,7697.0,33818.0,4536.0,0,presencial,lima,1,0
SOL-000110,19,0.2,2598.0,8006.0,572.0,0,digital,arequipa,1,0
SOL-000111,50,9.2,1928.0,7316.0,814.0,1,presencial,lima,1,0
SOL-000112,56,7.3,2152.0,9382.0,4379.0,1,presencial,lima,1,0
SOL-000113,58,6.4,3277.0,12821.0,2180.0,1,presencial,lima,0,0
SOL-000114,35,19.1,5685.0,16200.0,4750.0,1,presencial,trujillo,1,0
SOL-000115,50,3.3,3353.0,11431.0,1148.0,1,presencial,lima,0,0
SOL-000116,33,5.2,2255.0,7577.0,2546.0,1,digital,arequipa,1,0
SOL-000117,52,15.1,3294.0,14063.0,5280.0,0,digital,lima,1,0
SOL-000118,19,9.4,2718.0,4994.0,2633.0,1,digital,lima,0,0
SOL-000119,35,4.3,3044.0,10827.0,1929.0,1,presencial,trujillo,1,0
SOL-000120,23,6.4,2274.0,9266.0,4212.0,0,presencial,lima,1,0
SOL-000121,45,6.5,6263.0,15740.0,5415.0,1,presencial,lima,1,0
SOL-000122,68,4.7,6600.0,23732.0,14794.0,1,presencial,lima,0,0
SOL-000123,43,2.1,2208.0,4801.0,3145.0,1,presencial,arequipa,1,0
SOL-000124,44,4.3,3105.0,5194.0,1918.0,1,presencial,lima,0,0
SOL-000125,49,7.7,5414.0,8006.0,688.0,1,presencial,lima,0,0
SOL-000126,42,4.2,2118.0,6445.0,3088.0,1,presencial,lima,0,1
SOL-000127,47,5.3,4628.0,7220.0,10425.0,0,presencial,lima,1,0
SOL-000128,47,11.9,3230.0,10454.0,877.0,0,presencial,lima,0,0
SOL-000129,34,5.3,2033.0,5213.0,1596.0,1,presencial,lima,1,0
SOL-000130,42,5.5,9645.0,13708.0,13925.0,1,presencial,lima,0,0
SOL-000131,51,6.0,3205.0,6737.0,1997.0,1,presencial,lima,1,0
SOL-000132,42,2.4,3519.0,12982.0,3086.0,0,digital,arequipa,1,0
SOL-000133,57,9.4,2137.0,5501.0,6391.0,0,presencial,arequipa,1,0
SOL-000134,47,2.4,8580.0,31310.0,9557.0,1,presencial,lima,0,0
SOL-000135,47,4.0,10537.0,41373.0,3788.0,1,presencial,lima,0,0
SOL-000136,51,6.4,1753.0,6785.0,1513.0,1,presencial,lima,1,0
SOL-000137,25,2.8,2460.0,8558.0,2159.0,1,digital,trujillo,1,1
SOL-000138,36,13.7,7635.0,28360.0,2118.0,1,presencial,lima,0,0
SOL-000139,31,4.0,2100.0,6649.0,8258.0,1,digital,lima,0,0
SOL-000140,29,5.5,4735.0,13451.0,615.0,1,presencial,lima,0,0
SOL-000141,47,2.9,1598.0,2543.0,429.0,1,presencial,lima,1,1
SOL-000142,55,4.5,2540.0,11234.0,335.0,1,presencial,lima,0,0
SOL-000143,24,7.6,3140.0,12575.0,218.0,0,digital,lima,0,0
SOL-000144,48,3.5,2817.0,9812.0,8438.0,1,presencial,arequipa,1,0
SOL-000145,36,1.5,3173.0,10778.0,4837.0,1,presencial,arequipa,1,0
SOL-000146,32,5.0,1740.0,5547.0,3346.0,1,presencial,arequipa,1,0
SOL-000147,66,5.7,5378.0,9103.0,3122.0,1,presencial,arequipa,1,0
SOL-000148,32,4.2,1907.0,4558.0,4462.0,1,presencial,lima,0,0
SOL-000149,29,12.0,8528.0,20918.0,12441.0,1,presencial,trujillo,1,0
SOL-000150,45,18.3,2684.0,10362.0,1486.0,1,presencial,arequipa,1,0
SOL-000151,35,4.8,4063.0,13308.0,5377.0,0,digital,trujillo,1,0
SOL-000152,39,2.9,3860.0,10168.0,604.0,1,digital,arequipa,0,0
SOL-000153,65,7.7,2293.0,5542.0,2632.0,1,presencial,lima,0,0
SOL-000154,34,12.1,2837.0,11481.0,2033.0,0,presencial,lima,1,0
SOL-000155,37,3.6,3017.0,11572.0,8952.0,0,presencial,lima,0,0
SOL-000156,50,7.3,2188.0,8578.0,4480.0,0,digital,lima,1,0
SOL-000157,53,5.0,1949.0,5118.0,296.0,1,presencial,lima,0,0
SOL-000158,52,10.6,5052.0,14578.0,1552.0,1,presencial,lima,0,0
SOL-000159,26,1.3,1873.0,5951.0,7617.0,1,digital,lima,1,0
SOL-000160,44,11.3,2525.0,5036.0,1458.0,1,digital,trujillo,0,0
